index,Signal-inhibition,3-Keto,3-Hydroxy,12-Keto,12-Hydroxy,19-Methyl,18-Methyl,Sulfate-Ester,Sulfate-Oxygens,C4-C5-DB,C6-C7-DB,Sulfur,ShapeQuery,TanimotoCombo,ShapeTanimoto,ColorTanimoto,FitTverskyCombo,FitTversky,FitColorTversky,RefTverskyCombo,RefTversky,RefColorTversky,ScaledColor,ComboScore,ColorScore,Overlap
ENE4,0.905,1,0,0,1,1,1,1,3,0,0,1,DKPES_CSD_MMMF_1_20,1.511,0.889,0.622,1.624,0.932,0.692,1.811,0.951,0.86,0.872,1.761,-9.59,1286.317
ZINC72400307,0.904,0,0,0,1,1,1,1,3,0,0,1,DKPES_CSD_MMMF_1_4,1.221,0.809,0.413,1.401,0.888,0.513,1.579,0.901,0.678,0.691,1.499,-7.596,1218.799
ENE3,0.897,1,0,0,1,1,1,1,3,1,0,1,DKPES_CSD_MMMF_1_15,1.649,0.963,0.686,1.704,0.97,0.734,1.905,0.992,0.912,0.925,1.887,-10.171,1341.629
ENE1,0.893,1,0,1,0,1,1,1,3,1,0,1,DKPES_CSD_MMMF_1_12,1.812,0.978,0.834,1.822,0.976,0.846,1.985,1.002,0.983,0.992,1.97,-10.911,1357.732
ENE2,0.845,1,0,1,0,1,1,1,3,1,0,1,DKPES_CSD_MMMF_1_10,1.751,0.964,0.788,1.786,0.967,0.82,1.949,0.997,0.953,0.961,1.925,-10.574,1351.912
ZINC12494532,0.741,0,0,0,0,0,0,1,3,0,0,1,DKPES_CSD_MMMF_1_27,0.999,0.68,0.319,1.28,0.815,0.465,1.308,0.805,0.503,0.506,1.186,-5.562,1086.704
ZINC35044325,0.739,0,1,0,0,1,1,0,3,0,0,1,DKPES_CSD_MMMF_1_15,1.296,0.766,0.53,1.497,0.853,0.644,1.632,0.883,0.749,0.756,1.522,-8.312,1194.401
ZINC04095893,0.722,0,0,0,0,1,1,0,3,0,0,1,DKPES_CSD_MMMF_1_8,1.195,0.739,0.456,1.417,0.835,0.583,1.543,0.866,0.677,0.683,1.422,-7.515,1172.979
ZINC01532179,0.686,0,0,0,0,0,0,1,3,0,0,1,DKPES_CSD_MMMF_1_16,0.965,0.633,0.332,1.896,1.143,0.752,0.959,0.586,0.373,0.363,0.995,-3.988,770.823
ZINC70666191,0.627,0,0,0,1,1,1,0,0,0,0,0,DKPES_CSD_MMMF_1_0,1.117,0.797,0.321,1.278,0.851,0.427,1.489,0.925,0.564,0.574,1.371,-6.316,1256.029
ZINC01845398,0.624,0,0,0,0,0,0,0,3,0,0,1,DKPES_CSD_MMMF_1_6,0.51,0.221,0.289,1.465,0.789,0.676,0.57,0.235,0.335,0.326,0.547,-3.584,306.7
