Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	ScaledColor	ComboScore	ColorScore	Overlap	
ZINC04082559_14	DKPES_CSD_MMMF_1_26	0	 1.221	 0.839	 0.382	 1.470	 0.938	 0.532	 1.463	 0.888	 0.575	 0.578	 1.417	-6.355	1196.797
ZINC04025723_10	DKPES_CSD_MMMF_1_30	0	 1.408	 0.844	 0.564	 1.747	 0.955	 0.792	 1.541	 0.879	 0.661	 0.655	 1.500	-7.209	1184.702
ZINC13470739_25	DKPES_CSD_MMMF_1_3	0	 1.180	 0.830	 0.350	 1.445	 0.903	 0.542	 1.408	 0.911	 0.497	 0.495	 1.325	-5.445	1233.127
ZINC05276019_4	DKPES_CSD_MMMF_1_6	0	 1.384	 0.860	 0.524	 1.637	 0.949	 0.688	 1.589	 0.901	 0.688	 0.688	 1.547	-7.566	1216.017
ZINC06036237_10	DKPES_CSD_MMMF_1_18	0	 1.354	 0.833	 0.520	 1.616	 0.958	 0.659	 1.578	 0.865	 0.712	 0.716	 1.549	-7.872	1166.510
ZINC03782605_12	DKPES_CSD_MMMF_1_18	0	 1.169	 0.850	 0.319	 1.508	 0.977	 0.532	 1.312	 0.868	 0.444	 0.440	 1.290	-4.839	1168.868
ZINC00826952_158	DKPES_CSD_MMMF_1_30	0	 1.146	 0.798	 0.348	 1.483	 0.944	 0.539	 1.332	 0.838	 0.495	 0.492	 1.290	-5.417	1126.150
ZINC04026837_65	DKPES_CSD_MMMF_1_10	0	 1.336	 0.828	 0.508	 1.660	 0.957	 0.704	 1.506	 0.860	 0.646	 0.643	 1.471	-7.075	1158.265
ZINC04095893_172	DKPES_CSD_MMMF_1_8	0	 1.195	 0.739	 0.456	 1.417	 0.835	 0.583	 1.543	 0.866	 0.677	 0.683	 1.422	-7.515	1172.979
ZINC12658896_61	DKPES_CSD_MMMF_1_12	0	 1.344	 0.821	 0.523	 1.533	 0.846	 0.687	 1.653	 0.966	 0.687	 0.687	 1.508	-7.554	1317.655
ZINC04097471_31	DKPES_CSD_MMMF_1_26	0	 1.173	 0.831	 0.342	 1.378	 0.918	 0.460	 1.469	 0.897	 0.571	 0.579	 1.410	-6.370	1211.913
ZINC01183822_2	DKPES_CSD_MMMF_1_31	0	 1.160	 0.782	 0.378	 1.441	 0.892	 0.549	 1.412	 0.863	 0.549	 0.549	 1.330	-6.036	1167.212
ZINC14591952_45	DKPES_CSD_MMMF_1_10	0	 0.744	 0.437	 0.308	 1.686	 1.046	 0.640	 0.801	 0.429	 0.372	 0.364	 0.800	-4.000	561.807
ZINC78224296_19	DKPES_CSD_MMMF_1_31	0	 1.063	 0.765	 0.298	 1.346	 0.904	 0.442	 1.310	 0.832	 0.478	 0.480	 1.245	-5.278	1122.302
ZINC12289281_28	DKPES_CSD_MMMF_1_18	0	 1.186	 0.814	 0.371	 1.473	 0.907	 0.566	 1.408	 0.889	 0.519	 0.517	 1.331	-5.687	1203.801
ZINC08789094_76	DKPES_CSD_MMMF_1_14	0	 1.355	 0.873	 0.483	 1.539	 0.912	 0.627	 1.630	 0.952	 0.678	 0.681	 1.553	-7.487	1292.392
ZINC03876071_1	DKPES_CSD_MMMF_1_18	0	 1.115	 0.764	 0.351	 1.315	 0.847	 0.469	 1.469	 0.887	 0.582	 0.590	 1.354	-6.491	1205.136
ZINC71770953_75	DKPES_CSD_MMMF_1_15	0	 1.222	 0.713	 0.509	 1.555	 0.850	 0.705	 1.463	 0.816	 0.647	 0.644	 1.357	-7.085	1099.029
ZINC08788913_193	DKPES_CSD_MMMF_1_0	0	 1.422	 0.878	 0.544	 1.666	 0.930	 0.736	 1.616	 0.941	 0.676	 0.673	 1.551	-7.398	1271.515
ZINC12494532_13	DKPES_CSD_MMMF_1_27	0	 0.999	 0.680	 0.319	 1.280	 0.815	 0.465	 1.308	 0.805	 0.503	 0.506	 1.186	-5.562	1086.704
ZINC03882049_7	DKPES_CSD_MMMF_1_18	0	 1.155	 0.791	 0.364	 1.345	 0.864	 0.481	 1.502	 0.904	 0.598	 0.606	 1.397	-6.669	1228.569
ZINC01532179_0	DKPES_CSD_MMMF_1_16	0	 0.965	 0.633	 0.332	 1.896	 1.143	 0.752	 0.959	 0.586	 0.373	 0.363	 0.995	-3.988	770.823
ZINC04282168_148	DKPES_CSD_MMMF_1_8	0	 1.206	 0.757	 0.448	 1.378	 0.835	 0.544	 1.610	 0.891	 0.718	 0.731	 1.489	-8.046	1209.827
